groupname,variablename,x,y
myVariables,kf_1.x[0],0,17.74548912
myVariables,kf_1.x[0],0.062,17.73752785
myVariables,kf_1.x[0],0.125,17.72846794
myVariables,kf_1.x[0],0.187,17.72257614
myVariables,kf_1.x[0],0.25,17.7174015
myVariables,kf_1.x[0],0.312,17.71078873
myVariables,kf_1.x[0],0.375,17.70704651
myVariables,kf_1.x[0],0.437,17.70375824
myVariables,kf_1.x[0],0.5,17.70087051
myVariables,kf_1.x[0],0.562,17.69626617
myVariables,kf_1.x[0],0.625,17.6922226
myVariables,kf_1.x[0],0.687,17.68867111
myVariables,kf_1.x[0],0.75,17.68555069
myVariables,kf_1.x[0],0.812,17.68280983
myVariables,kf_1.x[0],0.875,17.68246841
myVariables,kf_1.x[0],0.937,17.68010139
myVariables,kf_1.x[0],1,17.68008995
myVariables,kf_1.x[0],1.062,17.67801285
myVariables,kf_1.x[0],1.125,17.67825508
myVariables,kf_1.x[0],1.187,17.6784668
myVariables,kf_1.x[0],1.25,17.67865372
myVariables,kf_1.x[0],1.312,17.71808052
myVariables,kf_1.x[0],1.375,17.75271416
myVariables,kf_1.x[0],1.437,17.78313828
myVariables,kf_1.x[0],1.5,17.80986404
myVariables,kf_1.x[0],1.562,17.8333416
myVariables,kf_1.x[0],1.625,17.85396576
myVariables,kf_1.x[0],1.687,17.79355621
myVariables,kf_1.x[0],1.75,17.58550453
myVariables,kf_1.x[0],1.812,17.40067673
myVariables,kf_1.x[0],1.875,17.3561039
myVariables,kf_1.x[0],1.937,17.19916153
myVariables,kf_1.x[0],2,17.10055923
myVariables,kf_1.x[0],2.062,17.1709938
myVariables,kf_1.x[0],2.125,17.19360352
myVariables,kf_1.x[0],2.187,17.13493919
myVariables,kf_1.x[0],2.25,17.08340645
myVariables,kf_1.x[0],2.312,17.07740021
myVariables,kf_1.x[0],2.375,16.99359894
myVariables,kf_1.x[0],2.437,16.95924759
myVariables,kf_1.x[0],2.5,16.9683342
myVariables,kf_1.x[0],2.562,17.01557922
myVariables,kf_1.x[0],2.625,16.90003014
myVariables,kf_1.x[0],2.687,16.75926399
myVariables,kf_1.x[0],2.75,16.63560867
myVariables,kf_1.x[0],2.812,16.56624794
myVariables,kf_1.x[0],2.875,16.66236877
myVariables,kf_1.x[0],2.937,16.7468071
myVariables,kf_1.x[0],3,16.7817173
myVariables,kf_1.x[0],3.062,16.77312088
myVariables,kf_1.x[0],3.125,16.72630692
myVariables,kf_1.x[0],3.187,16.76371002
myVariables,kf_1.x[0],3.25,16.7593689
myVariables,kf_1.x[0],3.312,16.75348854
myVariables,kf_1.x[0],3.375,16.82684898
myVariables,kf_1.x[0],3.437,16.93055534
myVariables,kf_1.x[0],3.5,16.82534027
myVariables,kf_1.x[0],3.562,16.73291588
myVariables,kf_1.x[0],3.625,16.61452866
myVariables,kf_1.x[0],3.687,16.54772949
myVariables,kf_1.x[0],3.75,16.64610291
myVariables,kf_1.x[0],3.812,16.77178001
myVariables,kf_1.x[0],3.875,16.8429184
myVariables,kf_1.x[0],3.937,16.82688332
myVariables,kf_1.x[0],4,16.69500732
myVariables,kf_1.x[0],4.062,16.65975571
myVariables,kf_1.x[0],4.125,16.66805077
myVariables,kf_1.x[0],4.187,16.71253395
myVariables,kf_1.x[0],4.25,16.90659714
myVariables,kf_1.x[0],4.312,16.96134758
myVariables,kf_1.x[0],4.375,16.85239029
myVariables,kf_1.x[0],4.437,16.7959404
myVariables,kf_1.x[0],4.5,16.78561592
myVariables,kf_1.x[0],4.562,16.69801903
myVariables,kf_1.x[0],4.625,16.66033363
myVariables,kf_1.x[0],4.687,16.74708557
myVariables,kf_1.x[0],4.75,16.78196144
myVariables,kf_1.x[0],4.812,16.77333641
myVariables,kf_1.x[0],4.875,16.72649574
myVariables,kf_1.x[0],4.937,16.60889053
myVariables,kf_1.x[0],5,16.62336922
myVariables,kf_1.x[0],5.062,16.67328453
myVariables,kf_1.x[0],5.125,16.79359245
myVariables,kf_1.x[0],5.187,16.90134239
myVariables,kf_1.x[0],5.25,16.91746712
myVariables,kf_1.x[0],5.312,16.89237022
myVariables,kf_1.x[0],5.375,16.75253487
myVariables,kf_1.x[0],5.437,16.66896057
myVariables,kf_1.x[0],5.5,16.83112335
myVariables,kf_1.x[0],5.562,16.93431091
myVariables,kf_1.x[0],5.625,16.90716553
myVariables,kf_1.x[0],5.687,16.88331985
myVariables,kf_1.x[0],5.75,16.86237335
myVariables,kf_1.x[0],5.812,16.80471039
myVariables,kf_1.x[0],5.875,16.83258247
myVariables,kf_1.x[0],5.937,16.89426231
myVariables,kf_1.x[0],6,16.95051193
myVariables,kf_1.x[0],6.062,16.96066093
myVariables,kf_1.x[0],6.125,16.93237877
myVariables,kf_1.x[0],6.187,16.82901001
myVariables,kf_1.x[0],6.25,16.81466484
myVariables,kf_1.x[0],6.312,16.80206299
myVariables,kf_1.x[0],6.375,16.79099274
myVariables,kf_1.x[0],6.437,16.89905739
myVariables,kf_1.x[0],6.5,16.91339493
myVariables,kf_1.x[0],6.562,16.84746361
myVariables,kf_1.x[0],6.625,16.75234985
myVariables,kf_1.x[0],6.687,16.70806122
myVariables,kf_1.x[0],6.75,16.70841789
myVariables,kf_1.x[0],6.812,16.66946793
myVariables,kf_1.x[0],6.875,16.83156776
myVariables,kf_1.x[0],6.937,16.93470001
myVariables,kf_1.x[0],7,16.8289814
myVariables,kf_1.x[0],7.062,16.7361145
myVariables,kf_1.x[0],7.125,16.65453529
myVariables,kf_1.x[0],7.187,16.70066261
myVariables,kf_1.x[0],7.25,16.7804451
myVariables,kf_1.x[0],7.312,16.8897934
myVariables,kf_1.x[0],7.375,16.82879639
myVariables,kf_1.x[0],7.437,16.73801804
myVariables,kf_1.x[0],7.5,16.6582737
myVariables,kf_1.x[0],7.562,16.58615685
myVariables,kf_1.x[0],7.625,16.56206894
myVariables,kf_1.x[0],7.687,16.61943626
myVariables,kf_1.x[0],7.75,16.62849998
myVariables,kf_1.x[0],7.812,16.79557991
myVariables,kf_1.x[0],7.875,16.70677185
myVariables,kf_1.x[0],7.937,16.6659565
myVariables,kf_1.x[0],8,16.63216972
myVariables,kf_1.x[0],8.062,16.5632267
myVariables,kf_1.x[0],8.125,16.58119011
myVariables,kf_1.x[0],8.187,16.63623238
myVariables,kf_1.x[0],8.25,16.80030632
myVariables,kf_1.x[0],8.312,16.82871437
myVariables,kf_1.x[0],8.375,16.77514267
myVariables,kf_1.x[0],8.437,16.68881989
myVariables,kf_1.x[0],8.5,16.73077965
myVariables,kf_1.x[0],8.562,16.8461647
myVariables,kf_1.x[0],8.625,16.8297348
myVariables,kf_1.x[0],8.687,16.89382744
myVariables,kf_1.x[0],8.75,16.83234024
myVariables,kf_1.x[0],8.812,16.81759071
myVariables,kf_1.x[0],8.875,16.72610855
myVariables,kf_1.x[0],8.937,16.72427177
myVariables,kf_1.x[0],9,16.64413261
myVariables,kf_1.x[0],9.062,16.69152451
myVariables,kf_1.x[0],9.125,16.7331543
myVariables,kf_1.x[0],9.187,16.69119835
myVariables,kf_1.x[0],9.25,16.69360542
myVariables,kf_1.x[0],9.312,16.61926079
myVariables,kf_1.x[0],9.375,16.63247871
myVariables,kf_1.x[0],9.437,16.64202309
myVariables,kf_1.x[0],9.5,16.72893333
myVariables,kf_1.x[0],9.562,16.72675323
myVariables,kf_1.x[0],9.625,16.84262657
myVariables,kf_1.x[0],9.687,16.82662582
myVariables,kf_1.x[0],9.75,16.85183334
myVariables,kf_1.x[0],9.812,16.75618744
myVariables,kf_1.x[0],9.875,16.7114315
myVariables,kf_1.x[0],9.937,16.75064278
myVariables,kf_1.x[0],10,16.82435036
myVariables,kf_1.x[0],10.062,16.81057167
myVariables,kf_1.x[0],10.125,16.79846764
myVariables,kf_1.x[0],10.187,16.70930862
myVariables,kf_1.x[0],10.25,16.70951462
myVariables,kf_1.x[0],10.312,16.67043304
myVariables,kf_1.x[0],10.375,16.75389099
myVariables,kf_1.x[0],10.437,16.90366364
myVariables,kf_1.x[0],10.5,16.8802433
myVariables,kf_1.x[0],10.562,16.89686775
myVariables,kf_1.x[0],10.625,16.79574776
myVariables,kf_1.x[0],10.687,16.70692062
myVariables,kf_1.x[0],10.75,16.62682343
myVariables,kf_1.x[0],10.812,16.63705635
myVariables,kf_1.x[0],10.875,16.68324089
myVariables,kf_1.x[0],10.937,16.64735222
myVariables,kf_1.x[0],11,16.6943512
myVariables,kf_1.x[0],11.062,16.57858658
myVariables,kf_1.x[0],11.125,16.51615715
myVariables,kf_1.x[0],11.187,16.50264549
myVariables,kf_1.x[0],11.25,16.45151329
myVariables,kf_1.x[0],11.312,16.52231789
myVariables,kf_1.x[0],11.375,16.58245087
myVariables,kf_1.x[0],11.437,16.63734055
myVariables,kf_1.x[0],11.5,16.5677681
myVariables,kf_1.x[0],11.562,16.50665283
myVariables,kf_1.x[0],11.625,16.570755
myVariables,kf_1.x[0],11.687,16.66632843
myVariables,kf_1.x[0],11.75,16.82674408
myVariables,kf_1.x[0],11.812,16.81060791
myVariables,kf_1.x[0],11.875,16.83776283
