time,distance,kf_distance[0]
0,18.02000046,18.01522636
0.001,17.39100075,17.99564362
0.003,17.39100075,17.97636986
0.004,17.39100075,17.95740318
0.005,17.39100075,17.93874359
0.006,17.39100075,17.92038536
0.007,17.39100075,17.88456726
0.008,17.39100075,17.86710358
0.01,17.39100075,17.84993362
0.011,17.39100075,17.83305359
0.012,17.39100075,17.81645966
0.013,17.39100075,17.80015182
0.014,17.39100075,17.78412628
0.015,17.39100075,17.75291634
0.017,17.39100075,17.73772621
0.018,17.39100075,17.72280884
0.019,17.39100075,17.7081604
0.02,17.39100075,17.69378281
0.021,17.39100075,17.67966843
0.022,17.39100075,17.66581726
0.023,17.39100075,17.63889694
0.024,17.39100075,17.62582016
0.026,17.39100075,17.61299896
0.027,17.39100075,17.60042572
0.028,17.39100075,17.58810425
0.029,17.39100075,17.57602692
0.03,17.39100075,17.55259895
0.032,17.39100075,17.54124451
0.033,17.39100075,17.53012657
0.034,17.39100075,17.51924133
0.035,17.39100075,17.50858688
0.036,17.39100075,17.49816322
0.037,17.39100075,17.4779911
0.039,17.39100075,17.46823883
0.04,17.39100075,17.45870399
0.041,17.39100075,17.4493866
0.042,17.39100075,17.44028473
0.044,17.39100075,17.42271233
0.046,17.39100075,17.40596771
0.047,17.39100075,17.39790154
0.048,17.39100075,17.39003372
0.049,17.39100075,17.38236427
0.05,17.39100075,17.37488937
0.051,17.39100075,17.36760712
0.052,17.39100075,17.3605175
0.054,17.39100075,17.34036636
0.055,17.39100075,17.33401299
0.057,17.39100075,17.32784081
0.058,17.39100075,17.3218441
0.059,17.39100075,17.31602287
0.06,17.39100075,17.31037331
0.061,17.39100075,17.30489349
0.062,16.40500069,17.26887703
0.063,16.40500069,17.23350906
0.064,16.40500069,17.19878578
0.065,16.40500069,17.13124084
0.067,16.40500069,17.09840965
0.068,16.40500069,17.06619644
0.069,16.40500069,17.03459549
0.07,16.40500069,17.00360107
0.071,16.40500069,16.97320938
0.072,16.40500069,16.94340897
0.073,16.40500069,16.88557243
0.075,16.40500069,16.85752106
0.076,16.40500069,16.83004189
0.077,16.40500069,16.80312729
