time,distance,kf_distance[0],kf_msd[0].R,sigma_a[0]
0.716,18.32600021,18.39431,6.04E-05,0.048
0.717,17.0340004,18.35002708,6.04E-05,0.048
0.718,17.0340004,18.30649376,6.04E-05,0.048
0.719,17.0340004,18.26370621,6.04E-05,0.048
0.72,17.0340004,18.22165298,6.04E-05,0.048
0.721,17.0340004,18.180336,6.04E-05,0.048
0.722,17.0340004,18.1397419,6.04E-05,0.048
0.723,17.0340004,18.09986877,6.04E-05,0.048
0.724,17.0340004,18.06070709,6.04E-05,0.048
0.725,17.0340004,18.02225494,6.04E-05,0.048
0.726,17.0340004,17.98450089,6.04E-05,0.048
0.727,17.0340004,17.94744492,6.04E-05,0.048
0.728,17.0340004,17.91107559,6.04E-05,0.048
0.729,17.0340004,17.87538719,6.04E-05,0.048
0.73,17.0340004,17.84037781,6.04E-05,0.048
0.731,17.0340004,17.806036,6.04E-05,0.048
0.732,17.0340004,17.77235794,6.04E-05,0.048
0.733,17.0340004,17.73933983,6.04E-05,0.048
0.734,17.0340004,17.70697403,6.04E-05,0.048
0.735,17.0340004,17.67525101,6.04E-05,0.048
0.736,17.0340004,17.64416695,6.04E-05,0.048
0.737,17.0340004,17.61371613,6.04E-05,0.048
0.738,17.0340004,17.58389091,6.04E-05,0.048
0.739,17.0340004,17.55468559,6.04E-05,0.048
0.74,17.0340004,17.52609444,6.04E-05,0.048
0.741,17.0340004,17.49811172,6.04E-05,0.048
0.742,17.0340004,17.47072792,6.04E-05,0.048
0.743,17.0340004,17.44393921,6.04E-05,0.048
0.744,17.0340004,17.41773987,6.04E-05,0.048
0.745,17.0340004,17.39212418,6.04E-05,0.048
0.746,17.0340004,17.3670826,6.04E-05,0.048
0.747,17.0340004,17.34261131,6.04E-05,0.048
0.748,17.0340004,17.3187027,6.04E-05,0.048
0.749,17.0340004,17.29535103,6.04E-05,0.048
0.75,17.0340004,17.27255058,6.04E-05,0.048
0.751,17.0340004,17.25029564,6.04E-05,0.048
0.752,17.0340004,17.22857666,6.04E-05,0.048
0.753,17.0340004,17.20739174,6.04E-05,0.048
0.754,17.0340004,17.18673325,6.04E-05,0.048
0.755,17.0340004,17.16659164,6.04E-05,0.048
0.756,17.0340004,17.14696503,6.04E-05,0.048
0.757,17.0340004,17.12784386,6.04E-05,0.048
0.758,17.0340004,17.10922241,6.04E-05,0.048
0.759,17.0340004,17.09109688,6.04E-05,0.048
0.76,17.0340004,17.07345963,6.04E-05,0.048
0.761,17.0340004,17.05630493,6.04E-05,0.048
0.762,17.0340004,17.03962326,6.04E-05,0.048
0.763,17.0340004,17.02341461,6.04E-05,0.048
0.764,17.0340004,17.00766754,6.04E-05,0.048
0.765,17.0340004,16.99237823,6.04E-05,0.048
0.766,17.0340004,16.97753906,6.04E-05,0.048
0.767,17.0340004,16.9631443,6.04E-05,0.048
0.768,17.0340004,16.94918823,6.04E-05,0.048
0.769,17.0340004,16.93566704,6.04E-05,0.048
0.77,17.0340004,16.92257118,6.04E-05,0.048
0.771,17.0340004,16.90989494,6.04E-05,0.048
0.772,17.0340004,16.8976326,6.04E-05,0.048
0.773,17.0340004,16.88578033,6.04E-05,0.048
0.774,17.0340004,16.87433052,6.04E-05,0.048
0.775,17.0340004,16.86327553,6.04E-05,0.048
0.776,17.0340004,16.85261154,6.04E-05,0.048
0.777,13.71900082,16.72289276,6.04E-05,0.048
0.778,13.71900082,16.59573555,6.04E-05,0.048
0.779,13.71900082,16.4711113,6.04E-05,0.048
0.78,13.71900082,16.34899521,6.04E-05,0.048
0.781,13.71900082,16.22936058,6.04E-05,0.048
0.782,13.71900082,16.11218262,6.04E-05,0.048
0.783,13.71900082,15.99743271,6.04E-05,0.048
0.784,13.71900082,15.88508797,6.04E-05,0.048
0.785,13.71900082,15.77512169,6.04E-05,0.048
0.786,13.71900082,15.66750813,6.04E-05,0.048
0.787,13.71900082,15.56222153,6.04E-05,0.048
0.788,13.71900082,15.45923615,6.04E-05,0.048
0.789,13.71900082,15.35852528,6.04E-05,0.048
0.79,13.71900082,15.26006508,6.04E-05,0.048
0.791,13.71900082,15.1638279,6.04E-05,0.048
0.792,13.71900082,15.06978989,6.04E-05,0.048
0.793,13.71900082,14.97792435,6.04E-05,0.048
0.794,13.71900082,14.88820648,6.04E-05,0.048
0.795,13.71900082,14.8006115,6.04E-05,0.048
0.796,13.71900082,14.71511269,6.04E-05,0.048
0.797,13.71900082,14.6316843,6.04E-05,0.048
0.798,13.71900082,14.55030251,6.04E-05,0.048
0.799,13.71900082,14.47094154,6.04E-05,0.048
0.8,13.71900082,14.39357758,6.04E-05,0.048
0.801,13.71900082,14.31818295,6.04E-05,0.048
0.802,13.71900082,14.24473381,6.04E-05,0.048
0.803,13.71900082,14.17320633,6.04E-05,0.048
0.805,13.71900082,14.10357475,6.04E-05,0.048
0.806,13.71900082,14.03581238,6.04E-05,0.048
0.807,13.71900082,13.96989822,6.04E-05,0.048
0.807,13.71900082,13.90580463,6.04E-05,0.048
0.808,13.71900082,13.84350777,6.04E-05,0.048
0.809,13.71900082,13.78298378,6.04E-05,0.048
0.81,13.71900082,13.72420692,6.04E-05,0.048
0.811,13.71900082,13.66715431,6.04E-05,0.048
0.812,13.71900082,13.61180115,6.04E-05,0.048
0.813,13.71900082,13.55812359,6.04E-05,0.048
0.814,13.71900082,13.50609684,6.04E-05,0.048
0.815,13.71900082,13.45569801,6.04E-05,0.048
0.816,13.71900082,13.40690136,6.04E-05,0.048
0.817,13.71900082,13.35968494,6.04E-05,0.048
0.818,13.71900082,13.31402493,6.04E-05,0.048
0.819,13.71900082,13.26989651,6.04E-05,0.048
0.82,13.71900082,13.22727776,6.04E-05,0.048
0.821,13.71900082,13.18614388,6.04E-05,0.048
0.823,13.71900082,13.14647293,6.04E-05,0.048
0.823,13.71900082,13.10824013,6.04E-05,0.048
0.824,13.71900082,13.07142448,6.04E-05,0.048
0.825,13.71900082,13.03600311,6.04E-05,0.048
0.826,13.71900082,13.00195122,6.04E-05,0.048
0.827,13.71900082,12.96924782,6.04E-05,0.048
0.828,13.71900082,12.93786907,6.04E-05,0.048
0.829,13.71900082,12.907794,6.04E-05,0.048
0.83,13.71900082,12.87899971,6.04E-05,0.048
0.831,13.71900082,12.85146427,6.04E-05,0.048
0.832,13.71900082,12.82516575,6.04E-05,0.048
0.833,13.71900082,12.80008125,6.04E-05,0.048
0.834,13.71900082,12.77619171,6.04E-05,0.048
0.835,13.71900082,12.75347233,6.04E-05,0.048
0.836,8.347000122,12.53835297,6.04E-05,0.048
0.837,8.347000122,12.32789612,6.04E-05,0.048
0.838,8.347000122,12.12205029,6.04E-05,0.048
0.839,8.347000122,11.92076015,6.04E-05,0.048
0.84,8.347000122,11.72397423,6.04E-05,0.048
0.841,8.347000122,11.53163719,6.04E-05,0.048
0.842,8.347000122,11.34369755,6.04E-05,0.048
0.843,8.347000122,11.16010189,6.04E-05,0.048
0.844,8.347000122,10.98079777,6.04E-05,0.048
0.845,8.347000122,10.80573177,6.04E-05,0.048
0.846,8.347000122,10.63485241,6.04E-05,0.048
0.847,8.347000122,10.46810627,6.04E-05,0.048
0.848,8.347000122,10.30544186,6.04E-05,0.048
0.849,8.347000122,10.14680767,6.04E-05,0.048
0.85,8.347000122,9.99215126,6.04E-05,0.048
0.851,8.347000122,9.841422081,6.04E-05,0.048
0.852,8.347000122,9.69456768,6.04E-05,0.048
0.853,8.347000122,9.551537514,6.04E-05,0.048
0.854,8.347000122,9.412281036,6.04E-05,0.048
0.855,8.347000122,9.276745796,6.04E-05,0.048
0.856,8.347000122,9.144883156,6.04E-05,0.048
0.857,8.347000122,9.016641617,6.04E-05,0.048
0.858,8.347000122,8.891971588,6.04E-05,0.048
0.859,8.347000122,8.770822525,6.04E-05,0.048
0.86,8.347000122,8.653144836,6.04E-05,0.048
0.861,8.347000122,8.538889885,6.04E-05,0.048
0.862,8.347000122,8.428007126,6.04E-05,0.048
0.863,8.347000122,8.320447922,6.04E-05,0.048
0.864,8.347000122,8.216164589,6.04E-05,0.048
0.865,8.347000122,8.115107536,6.04E-05,0.048
0.866,8.347000122,8.017228127,6.04E-05,0.048
0.867,8.347000122,7.922478199,6.04E-05,0.048
0.868,8.347000122,7.830810547,6.04E-05,0.048
0.869,8.347000122,7.742177963,6.04E-05,0.048
0.87,8.347000122,7.656531334,6.04E-05,0.048
0.871,8.347000122,7.573825836,6.04E-05,0.048
0.872,8.347000122,7.494012833,6.04E-05,0.048
0.873,8.347000122,7.417047024,6.04E-05,0.048
0.874,8.347000122,7.342881203,6.04E-05,0.048
0.875,8.347000122,7.27147007,6.04E-05,0.048
0.876,8.347000122,7.202767372,6.04E-05,0.048
0.877,8.347000122,7.136728287,6.04E-05,0.048
0.878,8.347000122,7.073307037,6.04E-05,0.048
0.879,8.347000122,7.012458324,6.04E-05,0.048
0.88,8.347000122,6.954138756,6.04E-05,0.048
0.881,8.347000122,6.898303032,6.04E-05,0.048
0.882,8.347000122,6.844907761,6.04E-05,0.048
0.883,8.347000122,6.79390955,6.04E-05,0.048
0.884,8.347000122,6.74526453,6.04E-05,0.048
0.885,8.347000122,6.698929787,6.04E-05,0.048
0.886,8.347000122,6.654862404,6.04E-05,0.048
0.887,8.347000122,6.613019943,6.04E-05,0.048
0.888,8.347000122,6.573359966,6.04E-05,0.048
0.889,8.347000122,6.535841465,6.04E-05,0.048
0.89,8.347000122,6.500422478,6.04E-05,0.048
0.891,8.347000122,6.467061996,6.04E-05,0.048
0.892,8.347000122,6.43571949,6.04E-05,0.048
0.893,8.347000122,6.406353951,6.04E-05,0.048
0.894,8.347000122,6.378925323,6.04E-05,0.048
0.895,8.347000122,6.353393555,6.04E-05,0.048
0.896,5.168000221,6.215181351,6.04E-05,0.048
0.897,5.168000221,6.080880165,6.04E-05,0.048
0.898,5.168000221,5.95043087,6.04E-05,0.048
0.899,5.168000221,5.823775768,6.04E-05,0.048
0.9,5.168000221,5.700858116,6.04E-05,0.048
0.901,5.168000221,5.58162117,6.04E-05,0.048
