time,distance,kf[0].R,kf_distance[0],tune_q[0],,
319.792,11.05000019,6.04E-05,11.049963,1.00E-08,,11.06710543
319.793,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.794,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.795,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.796,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.797,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.798,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.799,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.8,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.801,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.802,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.803,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.804,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.805,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.806,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.807,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.808,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.809,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.81,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.811,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.812,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.813,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.814,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.815,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.816,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.817,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.818,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.819,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.82,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.821,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.822,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.823,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.824,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.825,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.826,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.827,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.828,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.829,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.83,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.831,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.832,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.833,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.834,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.835,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.836,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.837,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.838,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.839,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.84,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.841,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.842,11.05000019,6.04E-05,11.049963,1.00E-08,,
319.843,11.05000019,6.04E-05,11.049963,1.00E-08,,
